id,Category,Sub Category,Name,Description,Ingredients,calorie,total_fat,colesterol,sodium,carbs,protein,caffeine,sugars,drink_calorie,drink_size,price
1702947465-1,Cold Drinks,Water,Hawai'i Volcanic Water,Hawaii's signature natural artesian water from the Big Island—rejuvenating and replenishening.,Not available for this item,0,0 g,0 mg,20 mg,0 g,0 g,0 mg*,0 g,0,600 ml  8 fl oz,4.5
1702947469-2,Cold Drinks,Water,Ethos Bottled Water,"For every bottle of Ethos water you buy, AnyCoffee will donate 5 cents to support humanitarian programs in coffee-growing communities, providing clean, safe water to those in need.",Not available for this item,,,,,,,,,,,4.5
1702947474-3,Cold Drinks,Water,DASANI Bottled Water,DASANI Bottled Water,Not available for this item,,,,,,,,,,,4.5
1702947478-4,Cold Drinks,Water,Galvanina Sparkling Water - Lime,"Natural, thirst-quenching mineral water with a twist of refreshing lime.",Not available for this item,0,0 g,0 mg,10 mg,0 g,0 g,0 mg*,0 g,0,16.9 fl oz  16.9 fl oz,4.5
1702947482-5,Cold Drinks,Water,Spindrift Raspberry Lime Sparkling Water,"Raspberry and lime squeezed into sparkling water for an effervescent, delightfully refreshing beverage.",Not available for this item,9,0 g,0 mg,0 mg,2 g,0 g,0 mg*,1 g,9,12 fl oz  12 fl oz,4.5
1702947487-6,Cold Drinks,Water,Spindrift Grapefruit Sparkling Water,"Pink, tangy, grapefruits squeezed into sparkling water—along with touches of orange and lemon—for an effervescent, delightfully refreshing beverage.",Not available for this item,15,0 g,0 mg,0 mg,4 g,0 g,0 mg*,3 g,15,12 fl oz  12 fl oz,4.5
1702947491-7,Cold Drinks,Water,Galvanina Sparkling Water,"The essential refresher. Our sparking, natural mineral water will quench your thirst with effervescent ease.",Not available for this item,0,0 g,0 mg,10 mg,0 g,0 g,0 mg*,0 g,0,16.9 fl oz  16.9 fl oz,4.5
1702947496-8,Cold Drinks,Milk,Cold Milk,"Skim, 2%, soy, almond, or coconutmilk served chilled or over ice. Simply refreshing.",Milk.,260,10 g,40 mg,250 mg,25 g,17 g,0 mg*,25 g,260,Grande  16 fl oz,4.5
1702947501-9,Cold Drinks,Milk,Horizon Organic Lowfat Milk Box,"Great for snacks, travel and more, this organic lowfat milk box is a convenient way to experience your milk on the go and everywhere.",Not available for this item,,,,,,,,,,,4.5
1702947506-10,Cold Drinks,Milk,Horizon Chocolate Organic Milk,"Great for snacks, travel and more, this chocolate organic milk box is a convenient way to experience your milk on the go and everywhere.",Not available for this item,,,,,,,,,,,4.5
1702947511-11,Cold Drinks,Protein Shake,Koia Vanilla Bean Protein Shake,"A healthy take on a vanilla milkshake, this protein-packed bottle is satisfyingly sweet and creamy without the excess sugar.",Not available for this item,190,7 g,0 mg,240 mg,13 g,18 g,0 mg*,4 g,190,12 fl oz  1 Count,4.5
1702947516-12,Cold Drinks,Protein Shake,Koia Cacao Bean Protein Shake,"The creamy taste of ice-cold chocolate milk without the dairy, to satisfy your daily chocolate craving with a protein boost.",Not available for this item,190,7 g,0 mg,240 mg,13 g,18 g,0 mg*,4 g,190,12 fl oz  1 Count,4.5
1702947522-13,Cold Drinks,Lemonade,Blended Strawberry Lemonade,"Awaken your taste buds with the zing of refreshing lemonade infused with a hint of delicious strawberry flavor and blended with ice. A light, fresh beverage that puts a little zip in your step.","Ice, Lemonade [Water, Lemon Juice, Sugar, Lemon Oil], Creme Frappuccino Syrup [Sugar, Water, Natural Flavor, Salt, Xanthan Gum, Potassium Sorbate, Citric Acid], Strawberry Puree Sauce [Strawberry Puree, White Grape Juice Concentrate, Water, Fruit And Vegetable Juice For Color, Natural Flavors, Xanthan Gum, Citric Acid]",190,0 g,0 mg,200 mg,46 g,0 g,0 mg*,45 g,190,Grande  16 fl oz,4.5
1702947527-14,Cold Drinks,Lemonade,Lemonade,"Awaken your taste buds with the zing of refreshing lemonade—this tangy, fresh sip puts a little zip in your step.","LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], ICE.",120,0 g,0 mg,10 mg,28 g,0 g,0 mg*,27 g,120,Grande  16 fl oz,4.5
1702947533-15,Cold Drinks,Lemonade,AnyCoffee Baya Energy Raspberry Lime,AnyCoffee Baya Energy Raspberry Lime crafted with the brightness of raspberry juice and a spritz of lime to lift you with some feel-good energy. It comes with 160 mg of caffeine naturally found in the fruit of the coffee plant. Taste how AnyCoffee does energy!,"CARBONATED WATER, WHITE GRAPE JUICE FROM CONCENTRATE, CANE SUGAR, LEMON JUICE FROM CONCENTRATE, RASPBERRY JUICE FROM CONCENTRATE, LIME JUICE FROM CONCENTRATE, NATURAL FLAVORS, ASCORBIC ACID [VITAMIN C], COFFEE CHERRY EXTRACT, GREEN COFFEE BEAN EXTRACT, LYCOPENE [COLOR]",90,0 g,0 mg,0 mg,23 g,0 g,170 mg*,22 g,90,12 fl oz  12 fl oz,4.5
1702947538-16,Cold Drinks,Juice,Tree Top Apple Juice Box,This childhood favorite contains 100% of your daily vitamin C with just the right amount of sweetness.,Not available for this item,120,0 g,0 mg,25 mg,29 g,0 g,0 mg*,26 g,120,8 fl oz  8 fl oz,4.5
1702947544-17,Cold Drinks,Juice,Evolution Fresh Organic Super Fruit Greens,"Here's a satisfying way to get your greens: a fruit and vegetable smoothie packed with goodness including mango puree, spinach, spirulina, chlorella and Vitamin C. Made with 100% juice and no added sweeteners or artificial flavors.","Organic Orange Juice, Organic Mango Puree, Organic Apple Juice, Organic Pineapple Juice, Organic Cucumber Juice, Organic Spinach Juice, Organic Romaine Lettuce Juice, Organic Kale Juice, Organic Spirulina, Organic Chlorella.",180,0 g,0 mg,170 mg,41 g,3 g,0 mg*,36 g,180,11 fl oz  11 fl oz,4.5
1702947550-18,Cold Drinks,Juice,Evolution Fresh Orange,"Once you try this orange juice—cold-pressed with oranges picked and squeezed at their peak of sweetness—you'll never go back to any other. Vitamin C–packed and made with 100% juice, no added sweeteners or any artificial flavors.",Orange Juice.,170,0 g,0 mg,10 mg,39 g,3 g,0 mg*,35 g,170,11 fl oz  11 fl oz,4.5
1702947555-19,Cold Drinks,Juice,Evolution Fresh Organic Defense Up,"A refreshing smoothie packed with bright flavor thanks to organic oranges, pineapples, mangoes, apples and acerola cherries. An excellent source of vitamin C, made with 100% juice and no added sweeteners or artificial flavors.","Organic Orange Juice, Organic Pineapple Juice, Organic Mango Puree, Organic Apple Juice, Organic Acerola Cherry Puree.",170,0 g,0 mg,0 mg,41 g,2 g,0 mg*,37 g,170,11 fl oz  11 fl oz,4.5
